dataset,feature_name,missing_pct,near_zero_variance_flag,high_outlier_flag,high_corr_flag,notes
BTC,ret_1h_close,0.0,False,True,True,
BTC,log_ret_1h_close,0.0,False,True,True,
BTC,ret_3h,0.0,False,True,True,
BTC,log_ret_3h,0.0,False,True,True,
BTC,ret_6h,0.0,False,True,True,
BTC,log_ret_6h,0.0,False,True,True,
BTC,ret_12h,0.0,False,True,True,
BTC,log_ret_12h,0.0,False,True,True,
BTC,ret_24h,0.0,False,True,True,
BTC,log_ret_24h,0.0,False,True,True,
BTC,ret_48h,0.0,False,True,True,
BTC,log_ret_48h,0.0,False,True,True,
BTC,ret_72h,0.0,False,False,True,
BTC,log_ret_72h,0.0,False,True,True,
BTC,range_pct,0.0,False,True,False,
BTC,body_pct,0.0,False,True,True,
BTC,body_abs_pct,0.0,False,True,False,
BTC,upper_shadow_pct,0.0,False,True,False,
BTC,lower_shadow_pct,0.0,False,True,False,
BTC,body_to_range,0.0,False,False,False,
BTC,close_loc,0.0,False,False,False,
BTC,bar_up,0.0,False,False,True,
BTC,bar_down,0.0,False,False,True,
BTC,gap_open_prev_close,0.0,True,True,False,
BTC,close_to_sma_6,0.0,False,True,True,
BTC,close_to_sma_12,0.0,False,True,True,
BTC,close_to_sma_24,0.0,False,True,True,
BTC,close_to_sma_48,0.0,False,True,True,
BTC,close_to_sma_72,0.0,False,True,True,
BTC,close_to_ema_6,0.0,False,True,True,
BTC,close_to_ema_12,0.0,False,True,True,
BTC,close_to_ema_24,0.0,False,True,True,
BTC,close_to_ema_48,0.0,False,True,True,
BTC,close_to_ema_72,0.0,False,True,True,
BTC,sma_cross_6_24,0.0,False,True,True,
BTC,sma_cross_12_48,0.0,False,True,True,
BTC,ema_cross_12_24,0.0,False,True,True,
BTC,vol_6h,0.0,False,True,False,
BTC,vol_24h,0.0,False,True,True,
BTC,vol_72h,0.0,False,True,True,
BTC,downside_vol_24h,0.0,False,True,False,
BTC,downside_vol_72h,0.0,False,True,True,
BTC,atr_14_pct,0.0,False,True,True,
BTC,rsi_14,0.0,False,False,False,
BTC,macd_line_pct,0.0,False,True,True,
BTC,macd_signal_pct,0.0,False,True,True,
BTC,macd_hist_pct,0.0,False,True,False,
BTC,log_volume,0.0,False,True,False,
BTC,log_quote_volume,0.0,False,True,False,
BTC,log_trades,0.0,False,True,False,
BTC,vol_z_24,0.0,False,False,True,
BTC,quote_vol_z_24,0.0,False,False,True,
BTC,trades_z_24,0.0,False,False,True,
BTC,vol_ratio_24,0.0,False,True,True,
BTC,quote_vol_ratio_24,0.0,False,True,True,
BTC,taker_buy_base_share,0.0,False,True,True,
BTC,taker_buy_quote_share,0.0,False,True,True,
BTC,order_flow_imbalance,0.0,False,True,True,
BTC,hour_sin,0.0,False,False,False,
BTC,hour_cos,0.0,False,False,False,
BTC,dow_sin,0.0,False,False,False,
BTC,dow_cos,0.0,False,False,False,
ETH,ret_1h_close,0.0,False,True,True,
ETH,log_ret_1h_close,0.0,False,True,True,
ETH,ret_3h,0.0,False,True,True,
ETH,log_ret_3h,0.0,False,True,True,
ETH,ret_6h,0.0,False,True,True,
ETH,log_ret_6h,0.0,False,True,True,
ETH,ret_12h,0.0,False,True,True,
ETH,log_ret_12h,0.0,False,True,True,
ETH,ret_24h,0.0,False,True,True,
ETH,log_ret_24h,0.0,False,True,True,
ETH,ret_48h,0.0,False,True,True,
ETH,log_ret_48h,0.0,False,True,True,
ETH,ret_72h,0.0,False,True,True,
ETH,log_ret_72h,0.0,False,True,True,
ETH,range_pct,0.0,False,True,False,
ETH,body_pct,0.0,False,True,True,
ETH,body_abs_pct,0.0,False,True,False,
ETH,upper_shadow_pct,0.0,False,True,False,
ETH,lower_shadow_pct,0.0,False,True,False,
ETH,body_to_range,0.0,False,False,False,
ETH,close_loc,0.0,False,False,False,
ETH,bar_up,0.0,False,False,True,
ETH,bar_down,0.0,False,False,True,
ETH,gap_open_prev_close,0.0,True,True,False,
ETH,close_to_sma_6,0.0,False,True,True,
ETH,close_to_sma_12,0.0,False,True,True,
ETH,close_to_sma_24,0.0,False,True,True,
ETH,close_to_sma_48,0.0,False,True,True,
ETH,close_to_sma_72,0.0,False,True,True,
ETH,close_to_ema_6,0.0,False,True,True,
ETH,close_to_ema_12,0.0,False,True,True,
ETH,close_to_ema_24,0.0,False,True,True,
ETH,close_to_ema_48,0.0,False,True,True,
ETH,close_to_ema_72,0.0,False,True,True,
ETH,sma_cross_6_24,0.0,False,True,True,
ETH,sma_cross_12_48,0.0,False,True,True,
ETH,ema_cross_12_24,0.0,False,True,True,
ETH,vol_6h,0.0,False,True,False,
ETH,vol_24h,0.0,False,True,True,
ETH,vol_72h,0.0,False,True,True,
ETH,downside_vol_24h,0.0,False,True,True,
ETH,downside_vol_72h,0.0,False,True,True,
ETH,atr_14_pct,0.0,False,True,True,
ETH,rsi_14,0.0,False,False,False,
ETH,macd_line_pct,0.0,False,True,True,
ETH,macd_signal_pct,0.0,False,True,True,
ETH,macd_hist_pct,0.0,False,True,False,
ETH,log_volume,0.0,False,True,True,
ETH,log_quote_volume,0.0,False,True,True,
ETH,log_trades,0.0,False,True,False,
ETH,vol_z_24,0.0,False,False,True,
ETH,quote_vol_z_24,0.0,False,False,True,
ETH,trades_z_24,0.0,False,False,True,
ETH,vol_ratio_24,0.0,False,True,True,
ETH,quote_vol_ratio_24,0.0,False,True,True,
ETH,taker_buy_base_share,0.0,False,True,True,
ETH,taker_buy_quote_share,0.0,False,True,True,
ETH,order_flow_imbalance,0.0,False,True,True,
ETH,hour_sin,0.0,False,False,False,
ETH,hour_cos,0.0,False,False,False,
ETH,dow_sin,0.0,False,False,False,
ETH,dow_cos,0.0,False,False,False,
XRP,ret_1h_close,0.0,False,True,True,
XRP,log_ret_1h_close,0.0,False,True,True,
XRP,ret_3h,0.0,False,True,True,
XRP,log_ret_3h,0.0,False,True,True,
XRP,ret_6h,0.0,False,True,True,
XRP,log_ret_6h,0.0,False,True,True,
XRP,ret_12h,0.0,False,True,True,
XRP,log_ret_12h,0.0,False,True,True,
XRP,ret_24h,0.0,False,True,True,
XRP,log_ret_24h,0.0,False,True,True,
XRP,ret_48h,0.0,False,True,True,
XRP,log_ret_48h,0.0,False,True,True,
XRP,ret_72h,0.0,False,True,True,
XRP,log_ret_72h,0.0,False,True,True,
XRP,range_pct,0.0,False,True,False,
XRP,body_pct,0.0,False,True,True,
XRP,body_abs_pct,0.0,False,True,False,
XRP,upper_shadow_pct,0.0,False,True,False,
XRP,lower_shadow_pct,0.0,False,True,False,
XRP,body_to_range,0.0,False,False,False,
XRP,close_loc,0.0,False,False,False,
XRP,bar_up,0.0,False,False,True,
XRP,bar_down,0.0,False,False,True,
XRP,gap_open_prev_close,0.0,False,True,False,
XRP,close_to_sma_6,0.0,False,True,True,
XRP,close_to_sma_12,0.0,False,True,True,
XRP,close_to_sma_24,0.0,False,True,True,
XRP,close_to_sma_48,0.0,False,True,True,
XRP,close_to_sma_72,0.0,False,True,True,
XRP,close_to_ema_6,0.0,False,True,True,
XRP,close_to_ema_12,0.0,False,True,True,
XRP,close_to_ema_24,0.0,False,True,True,
XRP,close_to_ema_48,0.0,False,True,True,
XRP,close_to_ema_72,0.0,False,True,True,
XRP,sma_cross_6_24,0.0,False,True,True,
XRP,sma_cross_12_48,0.0,False,True,True,
XRP,ema_cross_12_24,0.0,False,True,True,
XRP,vol_6h,0.0,False,True,False,
XRP,vol_24h,0.0,False,True,True,
XRP,vol_72h,0.0,False,True,True,
XRP,downside_vol_24h,0.0,False,True,True,
XRP,downside_vol_72h,0.0,False,True,True,
XRP,atr_14_pct,0.0,False,True,True,
XRP,rsi_14,0.0,False,False,False,
XRP,macd_line_pct,0.0,False,True,True,
XRP,macd_signal_pct,0.0,False,True,True,
XRP,macd_hist_pct,0.0,False,True,False,
XRP,log_volume,0.0,False,True,False,
XRP,log_quote_volume,0.0,False,True,False,
XRP,log_trades,0.0,False,True,False,
XRP,vol_z_24,0.0,False,False,True,
XRP,quote_vol_z_24,0.0,False,False,True,
XRP,trades_z_24,0.0,False,False,True,
XRP,vol_ratio_24,0.0,False,True,True,
XRP,quote_vol_ratio_24,0.0,False,True,True,
XRP,taker_buy_base_share,0.0,False,True,True,
XRP,taker_buy_quote_share,0.0,False,True,True,
XRP,order_flow_imbalance,0.0,False,True,True,
XRP,hour_sin,0.0,False,False,False,
XRP,hour_cos,0.0,False,False,False,
XRP,dow_sin,0.0,False,False,False,
XRP,dow_cos,0.0,False,False,False,
SOL,ret_1h_close,0.0,False,True,True,
SOL,log_ret_1h_close,0.0,False,True,True,
SOL,ret_3h,0.0,False,True,True,
SOL,log_ret_3h,0.0,False,True,True,
SOL,ret_6h,0.0,False,True,True,
SOL,log_ret_6h,0.0,False,True,True,
SOL,ret_12h,0.0,False,True,True,
SOL,log_ret_12h,0.0,False,True,True,
SOL,ret_24h,0.0,False,True,True,
SOL,log_ret_24h,0.0,False,True,True,
SOL,ret_48h,0.0,False,True,True,
SOL,log_ret_48h,0.0,False,True,True,
SOL,ret_72h,0.0,False,True,True,
SOL,log_ret_72h,0.0,False,True,True,
SOL,range_pct,0.0,False,True,False,
SOL,body_pct,0.0,False,True,True,
SOL,body_abs_pct,0.0,False,True,False,
SOL,upper_shadow_pct,0.0,False,True,False,
SOL,lower_shadow_pct,0.0,False,True,False,
SOL,body_to_range,0.0,False,False,False,
SOL,close_loc,0.0,False,False,False,
SOL,bar_up,0.0,False,False,True,
SOL,bar_down,0.0,False,False,True,
SOL,gap_open_prev_close,0.0,False,True,False,
SOL,close_to_sma_6,0.0,False,True,True,
SOL,close_to_sma_12,0.0,False,True,True,
SOL,close_to_sma_24,0.0,False,True,True,
SOL,close_to_sma_48,0.0,False,True,True,
SOL,close_to_sma_72,0.0,False,True,True,
SOL,close_to_ema_6,0.0,False,True,True,
SOL,close_to_ema_12,0.0,False,True,True,
SOL,close_to_ema_24,0.0,False,True,True,
SOL,close_to_ema_48,0.0,False,True,True,
SOL,close_to_ema_72,0.0,False,True,True,
SOL,sma_cross_6_24,0.0,False,True,True,
SOL,sma_cross_12_48,0.0,False,True,True,
SOL,ema_cross_12_24,0.0,False,True,True,
SOL,vol_6h,0.0,False,True,False,
SOL,vol_24h,0.0,False,True,True,
SOL,vol_72h,0.0,False,True,True,
SOL,downside_vol_24h,0.0,False,True,True,
SOL,downside_vol_72h,0.0,False,True,True,
SOL,atr_14_pct,0.0,False,True,True,
SOL,rsi_14,0.0,False,False,False,
SOL,macd_line_pct,0.0,False,True,True,
SOL,macd_signal_pct,0.0,False,True,True,
SOL,macd_hist_pct,0.0,False,True,False,
SOL,log_volume,0.0,False,True,False,
SOL,log_quote_volume,0.0,False,True,True,
SOL,log_trades,0.0,False,True,True,
SOL,vol_z_24,0.0,False,False,True,
SOL,quote_vol_z_24,0.0,False,False,True,
SOL,trades_z_24,0.0,False,False,True,
SOL,vol_ratio_24,0.0,False,True,True,
SOL,quote_vol_ratio_24,0.0,False,True,True,
SOL,taker_buy_base_share,0.0,False,True,True,
SOL,taker_buy_quote_share,0.0,False,True,True,
SOL,order_flow_imbalance,0.0,False,True,True,
SOL,hour_sin,0.0,False,False,False,
SOL,hour_cos,0.0,False,False,False,
SOL,dow_sin,0.0,False,False,False,
SOL,dow_cos,0.0,False,False,False,
