Feature Type,Validation Sharpe,Validation Precision,Validation Recall,Validation Avg Return,Test Sharpe,Test Precision,Test Recall,Test Avg Return,Scope,Strategy_Mode,Cost_Regime
extended,0.03594403931220236,0.5915944658192291,0.058817728962894895,0.00044883280756733714,0.03806111915642511,0.561641156965012,0.061431154634659604,0.0005612082111624649,all_assets,long_only,with_cost
raw,0.0031982579135120667,0.5348526255457455,0.1304944164862914,6.727492370052712e-05,0.0016085017158952426,0.510967627858911,0.14089088436828506,2.5746128505176007e-05,all_assets,long_only,with_cost
extended,0.06600904486983607,0.5915944658192291,0.058817728962894895,0.0007177823214782718,0.06718324734051057,0.561641156965012,0.061431154634659604,0.0008308407910943245,all_assets,long_only,no_cost
raw,0.030161001559997125,0.5348526255457455,0.1304944164862914,0.00030048078443306266,0.02930365371318152,0.510967627858911,0.14089088436828506,0.0002642019093724026,all_assets,long_only,no_cost
extended,0.0039393291703570255,0.5691601574340128,0.10731281841171929,-5.776502641576761e-05,-0.027826029618079163,0.5260051008081986,0.20832002562001906,-0.00022402017399982276,all_assets,short_only,with_cost
raw,-0.0036043957954000755,0.5296693185388052,0.06863747978993041,-0.0001380525243269229,-0.04612121170021124,0.48338086214455134,0.2679379186622649,-0.0014841461680026712,all_assets,short_only,with_cost
extended,0.036405052761043395,0.5691601574340128,0.10731281841171929,0.00019370385855926165,0.0031215048207648426,0.5260051008081986,0.20832002562001906,-1.5258343014359546e-06,all_assets,short_only,no_cost
raw,0.02818935393650206,0.5296693185388052,0.06863747978993041,0.0001129805334431872,-0.019865933853891272,0.48338086214455134,0.2679379186622649,-0.0012893301003231233,all_assets,short_only,no_cost
extended,0.017627706226849258,0.6636326955569999,0.06633418070254313,0.00013768495700278995,0.0010112142976519713,0.5426493113149989,0.10364971951792236,1.2752903779457204e-05,all_assets,long_short,with_cost
raw,-0.003396484640918334,0.6174842610696621,0.07886342763688023,-2.5484855744426423e-05,-0.01376481915089936,0.5146504392314252,0.1869844380483002,-0.00010850325381538658,all_assets,long_short,with_cost
extended,0.047949260588302,0.6636326955569999,0.06633418070254313,0.0003938053358301505,0.03074598252925087,0.5426493113149989,0.10364971951792236,0.00025248861716978943,all_assets,long_short,no_cost
raw,0.0238126441925693,0.6174842610696621,0.07886342763688023,0.00019453508992356493,0.011086468904172078,0.5146504392314252,0.1869844380483002,8.139791194523416e-05,all_assets,long_short,no_cost
extended,0.04400096814502803,0.5933226692227092,0.06121985150724148,0.000330362614539031,0.03939884232626394,0.5641038805995381,0.0633555461067373,0.00025326441587164886,btc,long_only,with_cost
raw,-0.0014194751502121991,0.536391605879328,0.0999436987236867,5.484861911169278e-05,0.0309057466444132,0.5325577339016278,0.1045697441599544,0.00025599528815087725,btc,long_only,with_cost
extended,0.09337398052900162,0.5933226692227092,0.06121985150724148,0.0006023223496793833,0.0896607456789634,0.5641038805995381,0.0633555461067373,0.0005140687612433147,btc,long_only,no_cost
raw,0.037334063880111984,0.536391605879328,0.0999436987236867,0.0002953571742308204,0.07075770506448176,0.5325577339016278,0.1045697441599544,0.0004925319306987918,btc,long_only,no_cost
extended,-0.009319449047806233,0.5747654249064109,0.12309945810468728,-4.208641252267591e-05,-0.04847222224013686,0.5416619942163252,0.21371257281744133,-0.00029783979712055467,btc,short_only,with_cost
raw,-6.130279788453556e-05,0.5257900894854993,0.11061793072281531,1.8102508533680813e-05,-0.025826670453839025,0.4995007893728446,0.392371082712893,-0.00012279426412128077,btc,short_only,with_cost
extended,0.03559613286402052,0.5747654249064109,0.12309945810468728,0.0002074604289086298,0.0013604157939473558,0.5416619942163252,0.21371257281744133,-6.928041400679713e-05,btc,short_only,no_cost
raw,0.042783030520379385,0.5257900894854993,0.11061793072281531,0.0002568170247881888,0.010709888573515413,0.4995007893728446,0.392371082712893,4.52002763131646e-05,btc,short_only,no_cost
extended,0.025181217694789523,0.6684265586496816,0.05285961995211041,0.00016905443362464202,0.014113954365328828,0.5438340499702163,0.07011328476259276,0.00011001329465680786,btc,long_short,with_cost
raw,-0.013351980472249813,0.6238526629908245,0.08636270470304178,-6.272574450009675e-05,-0.008412054246451452,0.5373763710877669,0.2035246321956316,-1.2486723115502371e-05,btc,long_short,with_cost
extended,0.07371757345998133,0.6684265586496816,0.05285961995211041,0.0004461215112857687,0.06590907930223333,0.5438340499702163,0.07011328476259276,0.00037574603924378605,btc,long_short,no_cost
raw,0.02835840083728722,0.6238526629908245,0.08636270470304178,0.00016804071767997046,0.029967490007229283,0.5373763710877669,0.2035246321956316,0.00019898605440117677,btc,long_short,no_cost
extended,-0.013764733918335102,0.5747408728997686,0.09132188880927099,-0.00010264900251338231,-0.01450970338655972,0.5547389243679218,0.07337357835900075,-0.00013173813684375687,eth,long_only,with_cost
raw,0.011626405749896377,0.5311826933573227,0.10215638384913203,0.00017914259173210624,-0.04230612198689796,0.4752062506934644,0.1330377742260268,-0.00048558262539352036,eth,long_only,with_cost
extended,0.02101791057734686,0.5747408728997686,0.09132188880927099,0.00016396222723706112,0.013616671961971059,0.5547389243679218,0.07337357835900075,0.00014221833877059887,eth,long_only,no_cost
raw,0.03980124031329215,0.5311826933573227,0.10215638384913203,0.00042254956049497247,-0.01695070916412997,0.4752062506934644,0.1330377742260268,-0.0002280664209094061,eth,long_only,no_cost
extended,0.008012227481555211,0.5829996383082295,0.04593970764087744,1.8679336797270267e-05,-0.029458172586639943,0.5277699014938921,0.10453780425886468,-0.0002108937876191429,eth,short_only,with_cost
raw,0.029602457898175998,0.5517011465085212,0.05562460407364357,0.00030549418635332596,-0.03065726678274749,0.5099220958111255,0.1589355094884936,-0.00020882192843172434,eth,short_only,with_cost
extended,0.05244432427265334,0.5829996383082295,0.04593970764087744,0.00028387423122435914,0.002238218781219788,0.5277699014938921,0.10453780425886468,3.32552920070432e-05,eth,short_only,no_cost
raw,0.07350989598292912,0.5517011465085212,0.05562460407364357,0.0005657396692439247,0.00374106457941108,0.5099220958111255,0.1589355094884936,3.712605504833143e-05,eth,short_only,no_cost
extended,0.002610560126962931,0.6468616988081467,0.06115279152810694,-1.8033161165459144e-05,-0.011942588881348614,0.5031361513171274,0.07291830629797014,-9.569340121467503e-05,eth,long_short,with_cost
raw,0.0067649106437348405,0.6238566711363521,0.07214989106326287,0.0001268112908535477,-0.01929185031464635,0.5065703510168986,0.1620797040034136,-0.00014573582862793732,eth,long_short,with_cost
extended,0.03989496702181664,0.6468616988081467,0.06115279152810694,0.00023211523043146573,0.01581648111229883,0.5031361513171274,0.07291830629797014,0.0001564918988515822,eth,long_short,no_cost
raw,0.03776490163154825,0.6238566711363521,0.07214989106326287,0.0003454043497984001,0.008255074706418716,0.5065703510168986,0.1620797040034136,6.425195360392298e-05,eth,long_short,no_cost
extended,-0.006979343842096969,0.6123303833147835,0.033854640667094565,-0.0001538642762167685,0.09813822525833826,0.5897504359972092,0.04261610865609497,0.0017658120284466089,xrp,long_only,with_cost
raw,-0.022506506954263705,0.5478064106392665,0.17674820671501273,-0.00033797518466371484,0.03167589527382866,0.5132954105129905,0.09487304952836784,0.00041690496983655303,xrp,long_only,with_cost
extended,0.0099210746360152,0.6123303833147835,0.033854640667094565,0.00011665146869870193,0.11567409378919191,0.5897504359972092,0.04261610865609497,0.002056936341266611,xrp,long_only,no_cost
raw,-0.00243111116896093,0.5478064106392665,0.17674820671501273,-0.0001255572445029624,0.054565977377729384,0.5132954105129905,0.09487304952836784,0.0006583211895209387,xrp,long_only,no_cost
extended,-0.03307989311963739,0.5815417590398042,0.037376753798239896,-0.0006846154291731181,-0.027391681587798557,0.5197863630875744,0.23762569803776704,-0.00031728172018163453,xrp,short_only,with_cost
raw,-0.05493774303584575,0.5312338547753354,0.0401819560272934,-0.0010591963719890085,-0.13199262567226322,0.4238970367216042,0.34557325430635305,-0.0057973890614263415,xrp,short_only,with_cost
extended,-0.015475441092767068,0.5815417590398042,0.037376753798239896,-0.0004103234079225705,-0.008133568501711192,0.5197863630875744,0.23762569803776704,-0.00011119451632477065,xrp,short_only,no_cost
raw,-0.037524326947953136,0.5312338547753354,0.0401819560272934,-0.0007821260486578414,-0.11946604570908148,0.4238970367216042,0.34557325430635305,-0.005641981540525355,xrp,short_only,no_cost
extended,-0.02193137213675465,0.6952128855352266,0.028721318740292635,-0.00041332001195399585,-0.009852809559588185,0.5819891283555412,0.10938401505774385,-0.00010270431481378589,xrp,long_short,with_cost
raw,-0.02637941391499511,0.6004255266302752,0.067996254699631,-0.0004140937784504598,-0.023660020609366898,0.4759303828988586,0.2200996792251155,-0.00027896124687116396,xrp,long_short,with_cost
extended,-0.004981371522507548,0.6952128855352266,0.028721318740292635,-0.0001344982844335273,0.010677742679738948,0.5819891283555412,0.10938401505774385,0.0001387144223174197,xrp,long_short,no_cost
raw,-0.00886769767666761,0.6004255266302752,0.067996254699631,-0.00019202344344977792,-0.010054443048633224,0.4759303828988586,0.2200996792251155,-0.00013231035459212778,xrp,long_short,no_cost
extended,0.12051926686421346,0.5859839378396553,0.04887453486797256,0.0017214818944604683,0.029217112427657954,0.5379713868953792,0.0663793854168054,0.00035749453717535897,sol,long_only,with_cost
raw,0.029424393427413514,0.5219593972460498,0.14088608059074606,0.0004327517276153209,-0.022322175708684555,0.5193942750851622,0.23108296955879118,-0.00017310569014136003,sol,long_only,with_cost
extended,0.1397232137369806,0.5859839378396553,0.04887453486797256,0.001988193240297941,0.04978147793191587,0.5379713868953792,0.0663793854168054,0.0006101397230967733,sol,long_only,no_cost
raw,0.04957110613109433,0.5219593972460498,0.14088608059074606,0.0006711681673863155,-0.0006892691419048031,0.5193942750851622,0.23108296955879118,4.509960939715403e-05,sol,long_only,no_cost
extended,0.050144431367316514,0.5373338074816066,0.22283535410307254,0.00047696239923545334,-0.005982042057741297,0.5148021444350027,0.2774040273660032,-7.006539107795894e-05,sol,short_only,with_cost
raw,0.002739411280229015,0.5126123923095487,0.06463249429738485,2.8066335821395403e-05,-0.0022723998680222422,0.49810069360662135,0.1748718281413199,-1.7150261777755804e-05,sol,short_only,with_cost
extended,0.07305519500026679,0.5373338074816066,0.22283535410307254,0.0006938041820266282,0.017020953209603423,0.5148021444350027,0.2774040273660032,0.00014111630111878073,sol,short_only,no_cost
raw,0.02504967329832712,0.5126123923095487,0.06463249429738485,0.00026228929626643686,0.019874195766279752,0.49810069360662135,0.1748718281413199,0.0001908766943470548,sol,short_only,no_cost
extended,0.06465041922239922,0.6440296392349447,0.12260299258966253,0.0008130385675059727,0.011726301266215855,0.5416379156171108,0.16218327195338272,0.0001393960364894819,sol,long_short,with_cost
raw,0.019380545179836742,0.6218021835211968,0.08894486008158528,0.00024806880911930313,-0.0036953514331327414,0.5387246519221763,0.1622337367690401,3.1707833530573393e-06,sol,long_short,with_cost
extended,0.08316587339391758,0.6440296392349447,0.12260299258966253,0.0010314828860368947,0.03058062702273236,0.5416379156171108,0.16218327195338272,0.00033900210826636975,sol,long_short,no_cost
raw,0.037994971978109346,0.6218021835211968,0.08894486008158528,0.0004567187356656671,0.016177753951673535,0.5387246519221763,0.1622337367690401,0.00019466399436796468,sol,long_short,no_cost
